DEBT,NETWORTH,HOUSES,NFIN,ASSET
1470.0,3130.0,0.0,4500.0,4600.0
1570.0,1030.0,0.0,2500.0,2600.0
1570.0,1730.0,0.0,3200.0,3300.0
0.0,4701.0,0.0,4700.0,4701.0
0.0,4701.0,0.0,4700.0,4701.0
0.0,4701.0,0.0,4700.0,4701.0
0.0,4801.0,0.0,4800.0,4801.0
0.0,4801.0,0.0,4800.0,4801.0
0.0,6460.0,0.0,6400.0,6460.0
0.0,6460.0,0.0,6400.0,6460.0
0.0,6450.0,0.0,6400.0,6450.0
0.0,6460.0,0.0,6400.0,6460.0
0.0,6450.0,0.0,6400.0,6450.0
6430.0,68870.0,0.0,73000.0,75300.0
9100.0,600.0,0.0,6900.0,9700.0
4780.0,12420.0,0.0,13000.0,17200.0
6210.0,10590.0,0.0,13000.0,16800.0
10300.0,17550.0,0.0,27000.0,27850.0
0.0,2500.0,0.0,2500.0,2500.0
0.0,2500.0,0.0,2500.0,2500.0
0.0,2500.0,0.0,2500.0,2500.0
0.0,2700.0,0.0,2700.0,2700.0
0.0,2600.0,0.0,2600.0,2600.0
29300.0,20700.0,0.0,23000.0,50000.0
30300.0,19700.0,0.0,23000.0,50000.0
30300.0,19700.0,0.0,23000.0,50000.0
30300.0,18700.0,0.0,22000.0,49000.0
29300.0,19700.0,0.0,22000.0,49000.0
22000.0,-6700.0,0.0,15000.0,15300.0
22000.0,-7700.0,0.0,14000.0,14300.0
23000.0,-8700.0,0.0,14000.0,14300.0
23000.0,-8700.0,0.0,14000.0,14300.0
22000.0,-7700.0,0.0,14000.0,14300.0
478500.0,-11500.0,230000.0,461000.0,467000.0
478500.0,-12400.0,230000.0,460100.0,466100.0
478500.0,-12500.0,230000.0,460000.0,466000.0
478500.0,-12500.0,230000.0,460000.0,466000.0
478500.0,-12500.0,230000.0,460000.0,466000.0
64700.0,-1559.0,0.0,57730.0,63141.0
63600.0,3511.0,0.0,61700.0,67111.0
62200.0,3821.0,0.0,60600.0,66021.0
64400.0,-359.0,0.0,58520.0,64041.0
63400.0,14711.0,0.0,72700.0,78111.0
10000.0,640.0,0.0,10000.0,10640.0
10000.0,1660.0,0.0,11000.0,11660.0
10000.0,1860.0,0.0,11000.0,11860.0
10000.0,1960.0,0.0,11000.0,11960.0
10000.0,1690.0,0.0,11000.0,11690.0
0.0,578600.0,0.0,23100.0,578600.0
0.0,578500.0,0.0,23000.0,578500.0
0.0,578500.0,0.0,23000.0,578500.0
0.0,578700.0,0.0,23200.0,578700.0
0.0,578600.0,0.0,23100.0,578600.0
520.0,24830.0,0.0,24400.0,25350.0
520.0,30430.0,0.0,30000.0,30950.0
520.0,26430.0,0.0,26000.0,26950.0
520.0,19530.0,0.0,19100.0,20050.0
520.0,22730.0,0.0,22300.0,23250.0
9000.0,42700.0,0.0,25900.0,51700.0
9000.0,41700.0,0.0,24900.0,50700.0
9000.0,41700.0,0.0,24900.0,50700.0
9000.0,41600.0,0.0,24800.0,50600.0
9000.0,42700.0,0.0,25900.0,51700.0
9830.0,470.0,0.0,8300.0,10300.0
9830.0,370.0,0.0,8200.0,10200.0
9830.0,470.0,0.0,8300.0,10300.0
9730.0,470.0,0.0,8200.0,10200.0
9930.0,270.0,0.0,8200.0,10200.0
22000.0,9800.0,0.0,31200.0,31800.0
21000.0,10800.0,0.0,31200.0,31800.0
22000.0,10700.0,0.0,32100.0,32700.0
21000.0,10800.0,0.0,31200.0,31800.0
22000.0,9700.0,0.0,31100.0,31700.0
212670.0,-5120.0,178000.0,194000.0,207550.0
198680.0,210.0,177000.0,185500.0,198890.0
225680.0,710.0,185000.0,213000.0,226390.0
208670.0,9710.0,192000.0,205000.0,218380.0
198670.0,9870.0,188000.0,195100.0,208540.0
8170.0,45390.0,50000.0,53000.0,53560.0
8140.0,45730.0,50000.0,53300.0,53870.0
7710.0,45770.0,50000.0,52900.0,53480.0
